ISA|00|          |00|          |ZZ|VIDA           |ZZ|DCG            |260708|1500|U|00401|003264067|0|P|>
GS|AR|VIDA|DCG|20260708|1500|3264065|X|004010
ST|943|0001
W06|F|S01525-3|20260708|S01525-3|||||||PO
N1|WH|801
PER|WH|801
N9|KK|001
N9|SI|OOCU7244490
N9|ZA|SZF
G62|17|20260912
W04|5136|EA||VN|DL400828AC4B|IT|DL400828|CA|||CHO1|000001||IZ|AC4
G69|ANSWERS
N9|CH|JCPRET
N9|CO|1090243
N9|DI|Chinese Laundry
N9|DV|0195
N9|GM|00007564200024630975|12
N9|GM|00007564200024630982|12
N9|GM|00007564200024630999|12
N9|GM|00007564200024631002|12
N9|GM|00007564200024631019|12
N9|GM|00007564200024631026|12
N9|GM|00007564200024631033|12
N9|GM|00007564200024631040|12
N9|GM|00007564200024631057|12
N9|GM|00007564200024631064|12
N9|GM|00007564200024631071|12
N9|GM|00007564200024631088|12
N9|GM|00007564200024631095|12
N9|GM|00007564200024631101|12
N9|GM|00007564200024631118|12
N9|GM|00007564200024631125|12
N9|GM|00007564200024631132|12
N9|GM|00007564200024631149|12
N9|GM|00007564200024631156|12
N9|GM|00007564200024631163|12
N9|GM|00007564200024631170|12
N9|GM|00007564200024631187|12
N9|GM|00007564200024631194|12
N9|GM|00007564200024631200|12
N9|GM|00007564200024631217|12
N9|GM|00007564200024631224|12
N9|GM|00007564200024631231|12
N9|GM|00007564200024631248|12
N9|GM|00007564200024631255|12
N9|GM|00007564200024631262|12
N9|GM|00007564200024631279|12
N9|GM|00007564200024631286|12
N9|GM|00007564200024631293|12
N9|GM|00007564200024631309|12
N9|GM|00007564200024631316|12
N9|GM|00007564200024631323|12
N9|GM|00007564200024631330|12
N9|GM|00007564200024631347|12
N9|GM|00007564200024631354|12
N9|GM|00007564200024631361|12
N9|GM|00007564200024631378|12
N9|GM|00007564200024631385|12
N9|GM|00007564200024631392|12
N9|GM|00007564200024631408|12
N9|GM|00007564200024631415|12
N9|GM|00007564200024631422|12
N9|GM|00007564200024631439|12
N9|GM|00007564200024631446|12
N9|GM|00007564200024631453|12
N9|GM|00007564200024631460|12
N9|GM|00007564200024631477|12
N9|GM|00007564200024631484|12
N9|GM|00007564200024631491|12
N9|GM|00007564200024631507|12
N9|GM|00007564200024631514|12
N9|GM|00007564200024631521|12
N9|GM|00007564200024631538|12
N9|GM|00007564200024631545|12
N9|GM|00007564200024631552|12
N9|GM|00007564200024631569|12
N9|GM|00007564200024631576|12
N9|GM|00007564200024631583|12
N9|GM|00007564200024631590|12
N9|GM|00007564200024631606|12
N9|GM|00007564200024631613|12
N9|GM|00007564200024631620|12
N9|GM|00007564200024631637|12
N9|GM|00007564200024631644|12
N9|GM|00007564200024631651|12
N9|GM|00007564200024631668|12
N9|GM|00007564200024631675|12
N9|GM|00007564200024631682|12
N9|GM|00007564200024631699|12
N9|GM|00007564200024631705|12
N9|GM|00007564200024631712|12
N9|GM|00007564200024631729|12
N9|GM|00007564200024631736|12
N9|GM|00007564200024631743|12
N9|GM|00007564200024631750|12
N9|GM|00007564200024631767|12
N9|GM|00007564200024631774|12
N9|GM|00007564200024631781|12
N9|GM|00007564200024631798|12
N9|GM|00007564200024631804|12
N9|GM|00007564200024631811|12
N9|GM|00007564200024631828|12
N9|GM|00007564200024631835|12
N9|GM|00007564200024631842|12
N9|GM|00007564200024631859|12
N9|GM|00007564200024631866|12
N9|GM|00007564200024631873|12
N9|GM|00007564200024631880|12
N9|GM|00007564200024631897|12
N9|GM|00007564200024631903|12
N9|GM|00007564200024631910|12
N9|GM|00007564200024631927|12
N9|GM|00007564200024631934|12
N9|GM|00007564200024631941|12
N9|GM|00007564200024631958|12
N9|GM|00007564200024631965|12
N9|GM|00007564200024631972|12
N9|GM|00007564200024631989|12
N9|GM|00007564200024631996|12
N9|GM|00007564200024632009|12
N9|GM|00007564200024632016|12
N9|GM|00007564200024632023|12
N9|GM|00007564200024632030|12
N9|GM|00007564200024632047|12
N9|GM|00007564200024632054|12
N9|GM|00007564200024632061|12
N9|GM|00007564200024632078|12
N9|GM|00007564200024632085|12
N9|GM|00007564200024632092|12
N9|GM|00007564200024632108|12
N9|GM|00007564200024632115|12
N9|GM|00007564200024632122|12
N9|GM|00007564200024632139|12
N9|GM|00007564200024632146|12
N9|GM|00007564200024632153|12
N9|GM|00007564200024632160|12
N9|GM|00007564200024632177|12
N9|GM|00007564200024632184|12
N9|GM|00007564200024632191|12
N9|GM|00007564200024632207|12
N9|GM|00007564200024632214|12
N9|GM|00007564200024632221|12
N9|GM|00007564200024632238|12
N9|GM|00007564200024632245|12
N9|GM|00007564200024632252|12
N9|GM|00007564200024632269|12
N9|GM|00007564200024632276|12
N9|GM|00007564200024632283|12
N9|GM|00007564200024632290|12
N9|GM|00007564200024632306|12
N9|GM|00007564200024632313|12
N9|GM|00007564200024632320|12
N9|GM|00007564200024632337|12
N9|GM|00007564200024632344|12
N9|GM|00007564200024632351|12
N9|GM|00007564200024632368|12
N9|GM|00007564200024632375|12
N9|GM|00007564200024632382|12
N9|GM|00007564200024632399|12
N9|GM|00007564200024632405|12
N9|GM|00007564200024632412|12
N9|GM|00007564200024632429|12
N9|GM|00007564200024632436|12
N9|GM|00007564200024632443|12
N9|GM|00007564200024632450|12
